Address,Establishment Name,Code Description,Date Cited,Date Corrected,Status
"496 Massachusetts Ave
Cambridge, MA
(42.364078, -71.1015)",Clover,Permit to Operate,04/21/2015 12:00:00 AM,05/07/2019 06:00:32 AM,Cited
"50 Memorial Dr
Cambridge, MA
(42.360478, -71.083461)",MIT,Permit to Operate,12/16/2015 12:00:00 AM,05/07/2019 06:00:39 AM,Cited
"581 Massachusetts Ave
Cambridge, MA
(42.364865, -71.102824)",Go Go Curry,Permit to Operate,04/16/2014 12:00:00 AM,04/17/2014 12:00:00 AM,Corrected
"84 Massachusetts Ave
Cambridge, MA
(42.359495, -71.094)",Shinkansen,PHF's Properly Thawed,05/07/2013 12:00:00 AM,05/08/2013 12:00:00 AM,Cited
"1674 Massachusetts Ave
Cambridge, MA
(42.382285, -71.119732)",Evergood Market,Permit to Operate,10/08/2013 12:00:00 AM,01/13/2014 12:00:00 AM,Corrected
"16 Eliot St
Cambridge, MA
(42.371998, -71.121652)",IHOP,Installed And Maintained,11/20/2017 12:00:00 AM,12/04/2017 12:00:00 AM,Corrected
"18 ELIOT ST
Cambridge, MA
(42.371971, -71.121632)",Takemura,Permit to Operate,01/27/2014 12:00:00 AM,02/03/2014 12:00:00 AM,Corrected
"58 Jfk St
Cambridge, MA
(42.371886, -71.120754)",Shay's,Food Contact Surfaces Clean,01/28/2014 12:00:00 AM,02/05/2014 12:00:00 AM,Corrected
"228 BROADWAY
Cambridge, MA
(42.366606, -71.094143)",Beauty's Pizza,"Water Safe, Hot And Cold Under Pressure",08/02/2013 12:00:00 AM,08/02/2013 12:00:00 AM,Corrected
"2382 Massachusetts Ave
Cambridge, MA
(42.396897, -71.12974)",Qingdao Garden,Cooling,07/26/2016 12:00:00 AM,08/02/2016 12:00:00 AM,Corrected
"1 Rogers St
Cambridge, MA
(42.36581, -71.077496)",Shabu & Mein,Cooling,11/05/2018 12:00:00 AM,11/13/2018 12:00:00 AM,Corrected
"102 Oxford
Cambridge, MA
(42.383162, -71.116139)",Oxford Spa,PIC Knowledgeable,07/24/2013 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
"100 Cambridgeside Pl
Cambridge, MA
(42.367005, -71.076013)",Chipotle,Permit to Operate,09/25/2015 12:00:00 AM,09/30/2015 12:00:00 AM,Corrected
"57 Jfk St
Cambridge, MA
(42.37201, -71.120651)",The Maharaja,Non-Food Contact Surfaces Clean,10/10/2017 12:00:00 AM,11/06/2017 12:00:00 AM,Corrected
"111 Harvard St
Cambridge, MA
(42.364921, -71.092812)",Amelia's,Permit to Operate,03/19/2014 12:00:00 AM,03/26/2014 12:00:00 AM,Corrected
"222 Third St
Cambridge, MA
(42.367562, -71.081223)",Downstairs Cafe,Rooms And Equipment Vented,10/26/2015 12:00:00 AM,11/02/2015 12:00:00 AM,Corrected
"1815 MASSACHUSETTS AVE
Cambridge, MA
(42.387126, -71.119111)",Ittyo,Cooling,03/16/2015 12:00:00 AM,03/23/2015 12:00:00 AM,Corrected
"0 Brattle St
Cambridge, MA",Tealuxe,Non-Food Contact Surfaces Clean,08/03/2016 12:00:00 AM,08/22/2016 12:00:00 AM,Corrected
"1 KENDALL SQ-2
Cambridge, MA
(42.366551, -71.09019)",Flat Top Johnny's,Separation,04/10/2013 12:00:00 AM,04/08/2013 12:00:00 AM,Cited
"300 Third St
Cambridge, MA
(42.365613, -71.082467)",Fuji,Test Kit Provided,12/03/2018 12:00:00 AM,12/10/2018 12:00:00 AM,Corrected
"1 BOW ST
Cambridge, MA
(42.372108, -71.115698)",Hokkaido Ramen Santouka,Reheating,06/18/2018 12:00:00 AM,06/25/2018 12:00:00 AM,Corrected
"781 Main St
Cambridge, MA
(42.363229, -71.096883)",Beijing Tokyo,"Location, Restricted Use, Accessible",08/22/2016 12:00:00 AM,08/29/2016 12:00:00 AM,Corrected
"1 BOW ST
Cambridge, MA
(42.372108, -71.115698)",Santouka Cambridge,Permit to Operate,01/16/2015 12:00:00 AM,02/12/2015 12:00:00 AM,Corrected
"80 Jfk St
Cambridge, MA
(42.370948, -71.121502)",Kennedy School,PHF's Properly Thawed,10/25/2013 12:00:00 AM,11/01/2013 12:00:00 AM,Corrected
"49 Brattle St
Cambridge, MA
(42.374104, -71.12161)",The Just Crust Pizzeria,Cooling,03/16/2016 12:00:00 AM,03/23/2016 12:00:00 AM,Corrected
"0 Garden St
Cambridge, MA",Harvard Square churches Meal,Permit to Operate,10/06/2016 12:00:00 AM,05/07/2019 06:00:35 AM,Cited
"1 Oxford St
Cambridge, MA
(42.38136, -71.11605)",Greenhouse,"Dressing Rooms Clean, Lockers Provided",02/27/2013 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
"496 Massachusetts Ave
Cambridge, MA
(42.364078, -71.1015)",Clover,Separation,04/10/2019 12:00:00 AM,04/18/2019 12:00:00 AM,Corrected
"1121 Cambridge St
Cambridge, MA
(42.37308, -71.09585)",Faialense,Test Kit Provided,12/10/2015 12:00:00 AM,12/17/2015 12:00:00 AM,Corrected
"784 Main St
Cambridge, MA
(42.363231, -71.096905)",Royal East,PHF's Properly Thawed,09/24/2018 12:00:00 AM,10/01/2018 12:00:00 AM,Corrected
"1A KENDALL SQ
Cambridge, MA
(42.366633, -71.091586)",Flat Top Johnny's,No Spoilage,09/01/2017 12:00:00 AM,09/08/2017 12:00:00 AM,Corrected
"301 Binney St
Cambridge, MA
(42.366336, -71.087137)",Plaza Catering,Cooling,08/09/2017 12:00:00 AM,08/17/2017 12:00:00 AM,Corrected
"1334 Cambridge St
Cambridge, MA
(42.373592, -71.099745)",S&S Restaurant,Hot And Cold Holding,10/17/2016 12:00:00 AM,10/31/2016 12:00:00 AM,Corrected
"1712 MASSACHUSETTS AVE
Cambridge, MA
(42.383537, -71.119598)",Changsho,Separation,03/07/2013 12:00:00 AM,05/07/2019 06:00:39 AM,Cited
"1 KENDALL SQ-2
Cambridge, MA
(42.366551, -71.09019)",Flat Top Johnny's,Hot And Cold Holding,03/25/2013 12:00:00 AM,04/08/2013 12:00:00 AM,Cited
"1105 MASSACHUSETTS AVE
Cambridge, MA
(42.370602, -71.113602)",Cafe Sushi,Separation,02/23/2015 12:00:00 AM,03/04/2015 12:00:00 AM,Corrected
"1815 MASSACHUSETTS AVE
Cambridge, MA
(42.387126, -71.119111)",Cho Cho's,Non-Food Contact Surfaces Clean,11/15/2016 12:00:00 AM,11/29/2016 12:00:00 AM,Corrected
"75 Binney St
Cambridge, MA
(42.365433, -71.080055)",Catalyst Cafe,Permit to Operate,03/26/2018 12:00:00 AM,04/03/2018 12:00:00 AM,Corrected
"1815 MASSACHUSETTS AVE
Cambridge, MA
(42.387126, -71.119111)",Wafuya,Installed And Maintained,06/13/2017 12:00:00 AM,07/03/2017 12:00:00 AM,Corrected
"424 CAMBRIDGE ST
Cambridge, MA
(42.371459, -71.083295)",Skampa,PIC Performing Duties,02/11/2019 12:00:00 AM,04/04/2019 12:00:00 AM,Corrected
"1627 Cambridge St
Cambridge, MA
(42.374815, -71.109281)",Harvard Market,Rooms And Equipment Vented,04/19/2017 12:00:00 AM,04/26/2017 12:00:00 AM,Corrected
"12 Palmer St
Cambridge, MA
(42.373949, -71.12007)",Harvard Coop,Permit to Operate,03/24/2015 12:00:00 AM,03/31/2015 12:00:00 AM,Corrected
"2382 Massachusetts Ave
Cambridge, MA
(42.396897, -71.12974)",Qing Qao,Permit to Operate,07/21/2014 12:00:00 AM,07/24/2014 12:00:00 AM,Corrected
"575 Memorial Dr
Cambridge, MA
(42.353488, -71.105459)",Zephyr,Hot And Cold Holding,04/14/2014 12:00:00 AM,04/25/2014 12:00:00 AM,Corrected
"401 MASSACHUSETTS AVE
Cambridge, MA
(42.363345, -71.10025)",Desi Dhaba,Hot And Cold Holding,07/24/2017 12:00:00 AM,07/31/2017 12:00:00 AM,Corrected
"355 Main St
Cambridge, MA
(42.362522, -71.086973)",Bailey & Sage,Non-Food Contact Surfaces Clean,12/10/2018 12:00:00 AM,12/21/2018 12:00:00 AM,Corrected
"330 Mt Auburn St
Cambridge, MA
(42.374917, -71.134107)",Mt. Auburn Hospital,Food Contact Surfaces Clean,01/28/2014 12:00:00 AM,02/03/2014 12:00:00 AM,Corrected
"0 Brattle St
Cambridge, MA",Sweet Cupcakes,Equipment Thermometers and Pressure Gauge,03/07/2016 12:00:00 AM,05/07/2019 06:00:36 AM,Cited
"16 Eliot St
Cambridge, MA
(42.371998, -71.121652)",IHOP,Non-Food Contact Surfaces Clean,07/09/2018 12:00:00 AM,07/30/2018 12:00:00 AM,Corrected
"21 Brattle St
Cambridge, MA
(42.373283, -71.120378)",Bertucci's,Cooling,07/12/2013 12:00:00 AM,07/19/2013 12:00:00 AM,Corrected
"1 KENDALL SQ-2
Cambridge, MA
(42.366551, -71.09019)",Flat Top Johnny's,Separation,03/25/2013 12:00:00 AM,04/08/2013 12:00:00 AM,Cited
"8 DANA ST
Cambridge, MA
(42.369655, -71.110376)",Cambridge Rehab,Prevention Of Contamination From Hands,01/09/2014 12:00:00 AM,01/16/2014 12:00:00 AM,Corrected
"2378 Massachusetts Ave
Cambridge, MA
(42.396804, -71.129638)",Suvaai,No Spoilage,03/22/2018 12:00:00 AM,03/29/2018 12:00:00 AM,Corrected
"311 Broadway
Cambridge, MA
(42.369099, -71.10046)",Faith Kitchen,Permit to Operate,08/20/2015 12:00:00 AM,05/07/2019 06:00:38 AM,Cited
"0 Brattle St
Cambridge, MA",Sweet Cupcakes,"Water Safe, Hot And Cold Under Pressure",09/18/2017 12:00:00 AM,09/25/2017 12:00:00 AM,Corrected
"3 Brattle St
Cambridge, MA
(42.373418, -71.119559)",Tory Row,Hot And Cold Holding,08/08/2016 12:00:00 AM,08/23/2016 12:00:00 AM,Corrected
"40 BRATTLE ST
Cambridge, MA
(42.373677, -71.121232)",Alden & Harlow,Test Kit Provided,03/07/2016 12:00:00 AM,05/07/2019 06:00:31 AM,Cited
"2388 Massachusetts Ave
Cambridge, MA
(42.396985, -71.129837)",Joe Sent Me,Food Utensils Properly Stored,10/24/2018 12:00:00 AM,10/31/2018 12:00:00 AM,Corrected
"645 Cambridge St
Cambridge, MA
(42.371951, -71.087165)",Pronto Cafe,Permit to Operate,04/19/2016 12:00:00 AM,05/07/2019 06:00:39 AM,Cited
"1815 Massachusetts Ave
Cambridge, MA
(42.387126, -71.119111)",Shaking Crab,Tags & Records,04/09/2018 12:00:00 AM,04/23/2018 12:00:00 AM,Corrected
"0 Brattle St
Cambridge, MA",Tealuxe,Test Kit Provided,01/22/2018 12:00:00 AM,02/12/2018 12:00:00 AM,Corrected
"1 ROGERS ST
Cambridge, MA
(42.36581, -71.077496)",Shabu Kendall,"Number, Convenient",01/24/2014 12:00:00 AM,05/07/2019 06:00:31 AM,Cited
"1667 mass
Cambridge, MA
(42.382161, -71.119634)",Cambridge Common,"Labeling Of Ingredients, Accuracy, Allergens",05/21/2013 12:00:00 AM,05/07/2019 06:00:30 AM,Cited
"50 Church St
Cambridge, MA
(42.37424, -71.120759)",Dado Tea,"Number, Convenient",01/23/2014 12:00:00 AM,01/30/2014 12:00:00 AM,Corrected
"17 Central Sq
Cambridge, MA
(42.365279, -71.104764)",India Pavilion,"Proper, Adequate, Handwashing",03/09/2015 12:00:00 AM,03/16/2015 12:00:00 AM,Corrected
"36 Jfk St
Cambridge, MA
(42.372861, -71.11992)",Crazy Dough's Pizza,Food Utensils Properly Stored,01/20/2016 12:00:00 AM,05/07/2019 06:00:34 AM,Cited
"831 Massachusetts Ave
Cambridge, MA
(42.367142, -71.106571)",dfdfd,Cooling,02/13/2018 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
"71 Mt Auburn St
Cambridge, MA
(42.371923, -71.118403)",Boloco,Non-Food Contact Surfaces Clean,04/14/2016 12:00:00 AM,04/21/2016 12:00:00 AM,Corrected
"1945 Massachusetts Ave
Cambridge, MA
(42.389635, -71.120174)",Newtowne Bar & Grille,"Insects, Rodents, Animals, Outer Openings",02/27/2018 12:00:00 AM,03/06/2018 12:00:00 AM,Corrected
"16 Eliot St
Cambridge, MA
(42.371998, -71.121652)",Gyu Kaku,Clean Equipment And Utensils Properly Stored,06/04/2018 12:00:00 AM,06/18/2018 12:00:00 AM,Corrected
"1172 Cambridge St
Cambridge, MA
(42.373225, -71.09696)",Hit Wicket,"Wiping Cloths, Clean, Sanitized, Use Restricted",05/20/2014 12:00:00 AM,05/28/2014 12:00:00 AM,Corrected
"24 Holyoke St
Cambridge, MA
(42.37212, -71.118487)",Spice Thai Cuisine,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",12/02/2015 12:00:00 AM,12/09/2015 12:00:00 AM,Corrected
"89 Elm St
Cambridge, MA
(42.369241, -71.097584)",Cambridgeport Afterschool,Installed And Maintained,03/16/2015 12:00:00 AM,05/07/2019 06:00:34 AM,Cited
"1 White St
Cambridge, MA
(42.388736, -71.118725)",Dunkin Donuts,"Non-Food Contact Surfaces Desgned, Maint., Inst.",10/23/2017 12:00:00 AM,12/04/2017 12:00:00 AM,Corrected
"1288 Massachusetts Ave
Cambridge, MA
(42.372832, -71.116861)",Tatte Bakery,Food Utensils Properly Stored,07/23/2018 12:00:00 AM,07/30/2018 12:00:00 AM,Corrected
"624 Massachusetts Ave
Cambridge, MA
(42.365282, -71.103512)",CVS,Non-Food Contact Surfaces Clean,12/04/2013 12:00:00 AM,12/18/2013 12:00:00 AM,Corrected
"2261 MASSACHUSETTS AVE
Cambridge, MA
(42.394283, -71.126674)",Yummy Thai Cuisine,Clean Equipment And Utensils Properly Stored,06/16/2016 12:00:00 AM,07/26/2016 12:00:00 AM,Corrected
"57 Jfk St
Cambridge, MA
(42.37201, -71.120651)",Wagamama,PIC Knowledgeable,06/28/2013 12:00:00 AM,12/17/2014 12:00:00 AM,Corrected
"24 HOLYOKE ST
Cambridge, MA
(42.37212, -71.118487)",Spice Thai Cuisine,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",05/18/2016 12:00:00 AM,05/19/2016 12:00:00 AM,Corrected
"33 Brattle St
Cambridge, MA
(42.373185, -71.120779)",Flat Patties,Non-Food Contact Surfaces Clean,08/14/2017 12:00:00 AM,08/21/2017 12:00:00 AM,Corrected
"102 COLUMBIA ST
Cambridge, MA
(42.365928, -71.098484)",International Convenience,"Separation, Segregation, No Cross Contamination",06/09/2017 12:00:00 AM,06/20/2017 12:00:00 AM,Corrected
"291 Third St
Cambridge, MA
(42.364715, -71.082975)",Abigails,"Hand Cleanser, Hand Drying, Toilet Tissue, Signage",06/20/2013 12:00:00 AM,07/05/2013 12:00:00 AM,Corrected
"239 Massachusetts Ave
Cambridge, MA
(42.361617, -71.097334)",Chicago Pizza,"Hand Cleanser, Hand Drying, Toilet Tissue, Signage",12/05/2013 12:00:00 AM,12/12/2013 12:00:00 AM,Corrected
"1908 Massachusetts Ave
Cambridge, MA
(42.388872, -71.119737)",Wok N Roll,"Food Protection, Storage, Display, Transportation",11/22/2016 12:00:00 AM,12/06/2016 12:00:00 AM,Corrected
"1245 CAMBRIDGE ST
Cambridge, MA
(42.373424, -71.098458)",All Star Sandwich,Food Contact Surfaces Clean,12/26/2014 12:00:00 AM,05/07/2019 06:00:32 AM,Cited
"319 Western Ave
Cambridge, MA
(42.364534, -71.113213)",Basta Pasta Trattoria,Person In Charge (PIC) Assigned,09/04/2014 12:00:00 AM,09/11/2014 12:00:00 AM,Corrected
"169 HARVARD ST
Cambridge, MA
(42.366153, -71.095665)",Izzy's Restaurant & Sub Shop,Cooling,03/21/2017 12:00:00 AM,04/05/2017 12:00:00 AM,Corrected
"100 Cambridgeside Pl
Cambridge, MA
(42.367005, -71.076013)",Chicken Now,"Walls,Celing,Attached Equip.,Constructed,Clean,",05/11/2017 12:00:00 AM,05/18/2017 12:00:00 AM,Corrected
"1154 Massachusetts Ave
Cambridge, MA
(42.371174, -71.114319)",Zinneken's,Facilities To Maintain Product Temperature,07/16/2018 12:00:00 AM,07/23/2018 12:00:00 AM,Corrected
"1945 Massachusetts Ave
Cambridge, MA
(42.389635, -71.120174)",Newtowne. Grille,Equipment Thermometers and Pressure Gauge,06/27/2013 12:00:00 AM,07/11/2013 12:00:00 AM,Corrected
"991 Massachusetts Ave
Cambridge, MA
(42.369282, -71.11105)",Garden @ the Cellar,No Spoilage,07/23/2013 12:00:00 AM,07/30/2013 12:00:00 AM,Corrected
"1815 MASSACHUSETTS AVE
Cambridge, MA
(42.387126, -71.119111)",the bluefin restaurant,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",06/04/2015 12:00:00 AM,05/07/2019 06:00:31 AM,Cited
"94 Hampshire St
Cambridge, MA
(42.368933, -71.094986)",Formaggio,"Food Container, Properly Labeled",02/11/2019 12:00:00 AM,02/19/2019 12:00:00 AM,Corrected
"1906 Massachusetts Ave
Cambridge, MA
(42.388878, -71.11974)",Rod Dee Thai Cuisine,Food Utensils Properly Stored,02/27/2018 12:00:00 AM,03/12/2018 12:00:00 AM,Corrected
"1166 Cambridge St
Cambridge, MA
(42.373208, -71.096823)",Puritan,Facilities To Maintain Product Temperature,10/29/2015 12:00:00 AM,11/05/2015 12:00:00 AM,Corrected
"282 Concord Ave
Cambridge, MA
(42.383627, -71.133635)",House of Chang,Non-Food Contact Surfaces Clean,09/13/2017 12:00:00 AM,10/18/2017 12:00:00 AM,Corrected
"208 CAMBRIDGE ST
Cambridge, MA
(42.370937, -71.07923)",Lou's Place,Permit to Operate,08/22/2014 12:00:00 AM,05/07/2019 06:00:38 AM,Cited
"1172 Cambridge St
Cambridge, MA
(42.373225, -71.09696)",The Rising,"Wiping Cloths, Clean, Sanitized, Use Restricted",07/20/2017 12:00:00 AM,08/03/2017 12:00:00 AM,Corrected
"36 Jfk St
Cambridge, MA
(42.372861, -71.11992)",Crazy Dough,"Walls,Celing,Attached Equip.,Constructed,Clean,",06/29/2015 12:00:00 AM,08/03/2015 12:00:00 AM,Corrected
"50 JFK ST
Cambridge, MA
(42.372072, -71.120598)",9 Tastes Thai Cuisine,"Food Protection, Storage, Display, Transportation",05/12/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Corrected
"555 TECHNOLOGY SQ
Cambridge, MA
(42.365186, -71.091289)",Draper Labs,Food Contact Surfaces Clean,05/08/2017 12:00:00 AM,05/15/2017 12:00:00 AM,Corrected
"205 BROADWAY
Cambridge, MA
(42.366398, -71.093621)",Tatters Bakery,"Wiping Cloths, Clean, Sanitized, Use Restricted",04/03/2014 12:00:00 AM,04/15/2014 12:00:00 AM,Corrected
"904 Massachusetts Ave
Cambridge, MA
(42.368308, -71.108617)",Atomic Bean Cafe,"Water Safe, Hot And Cold Under Pressure",11/04/2015 12:00:00 AM,11/12/2015 12:00:00 AM,Corrected
"1326 Massachusetts Ave
Cambridge, MA
(42.373102, -71.117855)",Yenching,Non-Food Contact Surfaces Clean,03/12/2013 12:00:00 AM,05/07/2019 06:00:32 AM,Cited
"286 Franklin St
Cambridge, MA
(42.364818, -71.105655)",Andala Coffee House,"Fixtures Clean, Good Repair",06/08/2018 12:00:00 AM,06/15/2018 12:00:00 AM,Corrected
"5 Callender St
Cambridge, MA
(42.365372, -71.111018)",Cambridge Community Center,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",12/03/2014 12:00:00 AM,05/07/2019 06:00:37 AM,Cited
"2420 Massachusetts Ave
Cambridge, MA
(42.397493, -71.130413)",Cambridge House of Pizza,"Food Protection, Storage, Display, Transportation",06/20/2016 12:00:00 AM,06/28/2016 12:00:00 AM,Corrected
"620 MEMORIAL DR
Cambridge, MA
(42.353441, -71.10751)",Compass Group/Eurest Dining,"Non-Food Contact Surfaces Desgned, Maint., Inst.",05/30/2013 12:00:00 AM,06/06/2013 12:00:00 AM,Cited
"40 BRATTLE ST
Cambridge, MA
(42.373677, -71.121232)",Alden and Harlow,"Dishwashing Facilities Des.,Maint.,Inst.,Operated",06/09/2014 12:00:00 AM,06/16/2014 12:00:00 AM,Corrected
"1093 Cambridge St
Cambridge, MA
(42.373029, -71.095477)",Bom Cafe,Food Contact Surfaces Cleaned And Sanitized,11/06/2018 12:00:00 AM,11/13/2018 12:00:00 AM,Corrected
"1900 Massachusetts Ave
Cambridge, MA
(42.388835, -71.119721)",Passage to India,"Location, Restricted Use, Accessible",08/19/2013 12:00:00 AM,08/26/2013 12:00:00 AM,Corrected
"468 Broadway
Cambridge, MA
(42.374014, -71.112901)",Ring Brothers,Hot And Cold Holding,04/10/2017 12:00:00 AM,04/25/2017 12:00:00 AM,Corrected
"736 Massachusetts Ave
Cambridge, MA
(42.366247, -71.105146)",Mass Chicken,"Separation From Living/Sleeping Quarters, Laundry",01/08/2019 12:00:00 AM,01/16/2019 12:00:00 AM,Corrected
"450 Massachusetts Ave
Cambridge, MA
(42.363724, -71.100898)",Veggie Galaxy,Food Contact Surfaces Cleaned And Sanitized,04/04/2016 12:00:00 AM,05/07/2019 06:00:29 AM,Corrected
"2263 Massachusetts Ave
Cambridge, MA
(42.394403, -71.126809)",Urban Hearth,"Separation, Segregation, No Cross Contamination",03/09/2017 12:00:00 AM,03/23/2017 12:00:00 AM,Corrected
"60 Church St
Cambridge, MA
(42.37424, -71.120759)",Market in the Square,Hot And Cold Holding,05/20/2013 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
"575 Cambridge St
Cambridge, MA
(42.371786, -71.085875)",Filarmonica Santo Antonio,"Insects, Rodents, Animals, Outer Openings",06/29/2016 12:00:00 AM,07/07/2016 12:00:00 AM,Corrected
"831 Massachusetts Ave
Cambridge, MA
(42.367142, -71.106571)",dfdfd,Consumer Advisories,02/13/2018 12:00:00 AM,05/07/2019 06:00:33 AM,Cited
"18 ELIOT ST
Cambridge, MA
(42.371971, -71.121632)",Gyu Kaku,PHF's Properly Thawed,08/22/2016 12:00:00 AM,08/30/2016 12:00:00 AM,Corrected
"638 Cambridge St
Cambridge, MA
(42.37193, -71.087003)",Albert's Market,Facilities To Maintain Product Temperature,01/06/2017 12:00:00 AM,01/17/2017 12:00:00 AM,Corrected
"575 Memorial Dr
Cambridge, MA
(42.353488, -71.105459)",Employee cafe,"Wiping Cloths, Clean, Sanitized, Use Restricted",05/19/2015 12:00:00 AM,05/26/2015 12:00:00 AM,Corrected
"231 Alewife Brook Pkwy
Cambridge, MA
(42.388989, -71.143131)",Genki Ya,"Food Protection, Storage, Display, Transportation",08/10/2017 12:00:00 AM,08/17/2017 12:00:00 AM,Corrected
"99 BRATTLE ST
Cambridge, MA
(42.376064, -71.12496)",Bon Appetit @ Lesley University,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",09/26/2017 12:00:00 AM,02/05/2018 12:00:00 AM,Corrected
"912 Massachusetts Ave
Cambridge, MA
(42.368338, -71.108681)",Plough and Stars,"Proper, Adequate, Handwashing",02/23/2015 12:00:00 AM,03/02/2015 12:00:00 AM,Corrected
"12 Cambridge Ctr
Cambridge, MA
(42.364943, -71.087597)",Biogen idec,Installed And Maintained,03/07/2013 12:00:00 AM,03/13/2013 12:00:00 AM,Cited
"621 Cambridge St
Cambridge, MA
(42.371878, -71.086598)",Mayflower Poultry,Food Contact Surfaces Clean,04/03/2013 12:00:00 AM,04/17/2013 12:00:00 AM,Corrected
"345 Cambridge St
Cambridge, MA
(42.371266, -71.08183)",Arams2,"Insects, Rodents, Animals, Outer Openings",01/11/2016 12:00:00 AM,05/07/2019 06:00:35 AM,Corrected
"40 Brattle St
Cambridge, MA
(42.373677, -71.121232)",Alden and Harlow,Prevention Of Contamination From Hands,02/18/2015 12:00:00 AM,02/25/2015 12:00:00 AM,Corrected
"57 JFK ST
Cambridge, MA
(42.37201, -71.120651)",Kaju Tofu House,Food Contact Surfaces Clean,12/18/2013 12:00:00 AM,12/30/2013 12:00:00 AM,Corrected
"71 Mt Auburn St
Cambridge, MA
(42.371923, -71.118403)",Boloco,"Non-Food Contact Surfaces Desgned, Maint., Inst.",04/14/2016 12:00:00 AM,04/21/2016 12:00:00 AM,Corrected
"1001 Massachusetts Ave
Cambridge, MA
(42.369398, -71.11138)",Harvest of India,Clean Equipment And Utensils Properly Stored,01/11/2017 12:00:00 AM,01/18/2017 12:00:00 AM,Corrected
"83 Mt Auburn St
Cambridge, MA
(42.372403, -71.119729)",Taco Truck (food truck),"Time As A Public Health Control, Variance",09/22/2014 12:00:00 AM,09/22/2014 12:00:00 AM,Corrected
"1815 MASSACHUSETTS AVE
Cambridge, MA
(42.387126, -71.119111)",Blue Fin,"Food Protection, Storage, Display, Transportation",02/03/2015 12:00:00 AM,02/11/2015 12:00:00 AM,Corrected
"1255 Cambridge St
Cambridge, MA
(42.37342, -71.098428)",Christina's Homemade Ice Cream,Non-Food Contact Surfaces Clean,04/25/2017 12:00:00 AM,05/02/2017 12:00:00 AM,Corrected
"1008 CAMBRIDGE ST
Cambridge, MA
(42.372822, -71.093883)",Muqueca Restaurant,Food Utensils Properly Stored,08/08/2017 12:00:00 AM,08/15/2017 12:00:00 AM,Corrected
"152 Columbia St
Cambridge, MA
(42.367012, -71.097847)",Camies Bakery,"Food Protection, Storage, Display, Transportation",02/13/2017 12:00:00 AM,02/28/2017 12:00:00 AM,Corrected
"70 Pacific St
Cambridge, MA
(42.360234, -71.102273)",Pacific St. Cafe,"Food Contact Surfaces Designed, Maint. ,Installed",03/06/2017 12:00:00 AM,05/07/2019 06:00:36 AM,Corrected
"20 Prospect St
Cambridge, MA
(42.365893, -71.103605)",The Field Pub,"Water Safe, Hot And Cold Under Pressure",01/30/2018 12:00:00 AM,02/06/2018 12:00:00 AM,Corrected
"1312 Massachusetts Ave
Cambridge, MA
(42.372978, -71.117401)",J.P. Licks,"Adequate Lighting, Fixtures Shielded",04/14/2016 12:00:00 AM,05/07/2019 06:00:34 AM,Cited
"1326 Massachusetts Ave
Cambridge, MA
(42.373102, -71.117855)",Yenching,"Food Protection, Storage, Display, Transportation",09/08/2014 12:00:00 AM,09/15/2014 12:00:00 AM,Corrected
"1248 Cambridge St
Cambridge, MA
(42.373419, -71.098418)",Hops N Scotch,"Food Protection, Storage, Display, Transportation",04/25/2017 12:00:00 AM,05/02/2017 12:00:00 AM,Corrected
"43 Gore St
Cambridge, MA
(42.371698, -71.079496)",Olive Cafe,Test Kit Provided,07/31/2017 12:00:00 AM,08/07/2017 12:00:00 AM,Corrected
"94 Hampshire St
Cambridge, MA
(42.368933, -71.094986)",Edible Arrangements,Permit to Operate,12/12/2017 12:00:00 AM,12/19/2017 12:00:00 AM,Corrected
"571 Massachusetts Ave
Cambridge, MA
(42.364714, -71.102574)",Dosa Factory,Food Utensils Properly Stored,10/12/2017 12:00:00 AM,10/23/2017 12:00:00 AM,Corrected
"1933 Massachusetts Ave
Cambridge, MA
(42.389559, -71.120096)",Sugar & Spice,Hot And Cold Holding,06/06/2016 12:00:00 AM,06/14/2016 12:00:00 AM,Corrected
"1 Oxford St
Cambridge, MA
(42.38136, -71.11605)",Greenhouse Cafe,"Walls,Celing,Attached Equip.,Constructed,Clean,",04/13/2015 12:00:00 AM,04/27/2015 12:00:00 AM,Corrected
"625 West Kendall St
Cambridge, MA
(42.364636, -71.081828)",Mother Juice,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",11/17/2016 12:00:00 AM,11/28/2016 12:00:00 AM,Corrected
"263 BROOKLINE ST
Cambridge, MA
(42.3576, -71.107768)",Cambridge Pizzeria,"Food Protection, Storage, Display, Transportation",09/08/2016 12:00:00 AM,09/15/2016 12:00:00 AM,Corrected
"50 Church St
Cambridge, MA
(42.37424, -71.120759)",Fire + Ice,"Insects, Rodents, Animals, Outer Openings",09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,Corrected
