Address,Establishment Name,Code Description,Date Cited,Date Corrected,Status
"2420 Massachusetts Ave
Cambridge, MA
(42.397493, -71.130413)",Cambridge House of Pizza,Permit to Operate,09/30/2013 12:00:00 AM,05/07/2019 06:00:34 AM,Cited
"84 Massachusetts Ave
Cambridge, MA
(42.359495, -71.094)",MIT Faculty Catering,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",11/20/2013 12:00:00 AM,11/27/2013 12:00:00 AM,Corrected
"197 Vassal Ln
Cambridge, MA
(42.383926, -71.139952)",Tobin,Rooms And Equipment Vented,11/18/2013 12:00:00 AM,05/07/2019 06:00:39 AM,Cited
"1001 Massachusetts Ave
Cambridge, MA
(42.369398, -71.11138)",Harvest of India,"Wiping Cloths, Clean, Sanitized, Use Restricted",03/22/2018 12:00:00 AM,04/02/2018 12:00:00 AM,Corrected
"1663 MASSACHUSETTS AVE
Cambridge, MA
(42.381934, -71.119664)",Hi-Rise,"Single Service Articles Stored, Dispensed",03/15/2018 12:00:00 AM,03/22/2018 12:00:00 AM,Corrected
"3 Church St
Cambridge, MA
(42.374371, -71.119409)",Tuesday Meals,"Insects, Rodents, Animals, Outer Openings",09/13/2016 12:00:00 AM,10/24/2017 12:00:00 AM,Corrected
"1001 Cambridge St
Cambridge, MA
(42.372788, -71.09361)",Dunkin Donuts,Food Contact Surfaces Cleaned And Sanitized,02/01/2018 12:00:00 AM,02/08/2018 12:00:00 AM,Corrected
"1001 Massachusetts Ave
Cambridge, MA
(42.369398, -71.11138)",Harvest of India,"Hand Cleanser, Hand Drying, Toilet Tissue, Signage",03/20/2013 12:00:00 AM,05/07/2019 06:00:37 AM,Cited
"1326 Massachusetts Ave
Cambridge, MA
(42.373102, -71.117855)",Yenching,"Adequate Lighting, Fixtures Shielded",05/04/2015 12:00:00 AM,06/01/2015 12:00:00 AM,Corrected
"2030 Massachusetts Ave
Cambridge, MA
(42.390732, -71.121977)",Andy's Diner,Prevention Of Contamination From Hands,11/17/2014 12:00:00 AM,11/24/2014 12:00:00 AM,Corrected
